BUSINESS_TYPE_ID,BUSINESS_CODE,BUSINESS_DESCRIPTION
153,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
154,111320,Citrus (except Orange) Groves
155,813410,Civic and Social Organizations
156,524291,Claims Adjusting
157,327120,Clay Building Material and Refractories Manufacturing
158,424350,Clothing and Clothing Accessories Merchant Wholesalers
159,458110,Clothing and Clothing Accessories Retailers
160,423520,Coal and Other Mineral and Ore Merchant Wholesalers
161,483113,Coastal and Great Lakes Freight Transportation
162,483114,Coastal and Great Lakes Passenger Transportation
163,311920,Coffee and Tea Manufacturing
164,812310,Coin-Operated Laundries and Drycleaners
165,561440,Collection Agencies
166,611310,"Colleges, Universities, and Professional Schools"
167,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental a"
168,311812,Commercial Bakeries
169,522110,Commercial Banking
170,541922,Commercial Photography
171,323111,Commercial Printing (except Screen and Books)
172,323113,Commercial Screen Printing
173,811310,Commercial and Industrial Machinery and Equipment (except Automot
174,236220,Commercial and Institutional Building Construction
175,333310,Commercial and Service Industry Machinery Manufacturing
176,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixtu"
177,523160,Commodity Contracts Intermediation
178,624210,Community Food Services
179,485112,Commuter Rail Systems
180,325315,Compost Manufacturing
181,541513,Computer Facilities Management Services
182,334112,Computer Storage Device Manufacturing
183,541512,Computer Systems Design Services
184,334118,Computer Terminal and Other Computer Peripheral Equipment Manufac
185,611420,Computer Training
186,423430,Computer and Computer Peripheral Equipment and Software Merchant 
187,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting,"
188,327331,Concrete Block and Brick Manufacturing
189,327332,Concrete Pipe Manufacturing
190,311352,Confectionery Manufacturing from Purchased Chocolate
191,424450,Confectionery Merchant Wholesalers
192,445292,Confectionery and Nut Retailers
193,333120,Construction Machinery Manufacturing
194,212321,Construction Sand and Gravel Mining
195,423810,Construction and Mining (except Oil Well) Machinery and Equipment
196,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental"
197,532210,Consumer Electronics and Appliances Rental
198,522291,Consumer Lending
199,623311,Continuing Care Retirement Communities
200,445131,Convenience Retailers
201,561920,Convention and Trade Show Organizers
202,561591,Convention and Visitors Bureaus
203,333922,Conveyor and Conveying Equipment Manufacturing
204,311821,Cookie and Cracker Manufacturing
205,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
206,212230,"Copper, Nickel, Lead, and Zinc Mining"
207,111150,Corn Farming
208,551114,"Corporate, Subsidiary, and Regional Managing Offices"
209,922140,Correctional Institutions
210,322211,Corrugated and Solid Fiber Box Manufacturing
211,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers"
212,611511,Cosmetology and Barber Schools
213,111920,Cotton Farming
