BUSINESS_TYPE_ID,BUSINESS_CODE,BUSINESS_DESCRIPTION
649,238190,"Other Foundation, Structure, and Building Exterior Contractors"
650,713290,Other Gambling Industries
651,457120,Other Gasoline Stations
652,921190,Other General Government Support
653,813219,Other Grantmaking and Giving Services
654,424490,Other Grocery and Related Products Merchant Wholesalers
655,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipm
656,237990,Other Heavy and Civil Engineering Construction
657,624190,Other Individual and Family Services
658,525190,Other Insurance Funds
659,922190,"Other Justice, Public Order, and Safety Activities"
660,316990,Other Leather and Allied Product Manufacturing
661,541618,Other Management Consulting Services
662,114119,Other Marine Fishing
663,334519,Other Measuring and Controlling Device Manufacturing
664,332439,Other Metal Container Manufacturing
665,212290,Other Metal Ore Mining
666,332919,Other Metal Valve and Pipe Fitting Manufacturing
667,321918,Other Millwork (including Flooring)
668,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
669,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
670,512199,Other Motion Picture and Video Industries
671,336390,Other Motor Vehicle Parts Manufacturing
672,111339,Other Noncitrus Fruit Farming
673,331529,Other Nonferrous Metal Foundries (except Die-Casting)
674,562219,Other Nonhazardous Waste Treatment and Disposal
675,212390,Other Nonmetallic Mineral Mining and Quarrying
676,481219,Other Nonscheduled Air Transportation
677,322219,Other Paperboard Container Manufacturing
678,711190,Other Performing Arts Companies
679,812199,Other Personal Care Services
680,811490,Other Personal and Household Goods Repair and Maintenance
681,112390,Other Poultry Production
682,327212,Other Pressed and Blown Glass and Glassware Manufacturing
683,423490,Other Professional Equipment and Supplies Merchant Wholesalers
684,623990,Other Residential Care Facilities
685,541690,Other Scientific and Technical Consulting Services
686,541890,Other Services Related to Advertising
687,561790,Other Services to Buildings and Dwellings
688,813990,"Other Similar Organizations (except Business, Professional, Labor"
689,311919,Other Snack Food Manufacturing
690,813319,Other Social Advocacy Organizations
691,512290,Other Sound Recording Industries
692,541490,Other Specialized Design Services
693,711219,Other Spectator Sports
694,488190,Other Support Activities for Air Transportation
695,488490,Other Support Activities for Road Transportation
696,488390,Other Support Activities for Water Transportation
697,611519,Other Technical and Trade Schools
698,485119,Other Urban Transit Systems
699,111219,Other Vegetable (except Potato) and Melon Farming
700,493190,Other Warehousing and Storage
701,562119,Other Waste Collection
702,444230,Outdoor Power Equipment Retailers
703,621420,Outpatient Mental Health and Substance Abuse Centers
704,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturin"
705,424420,Packaged Frozen Food Merchant Wholesalers
706,333993,Packaging Machinery Manufacturing
707,561910,Packaging and Labeling Services
708,488991,Packing and Crating
709,325510,Paint and Coating Manufacturing
710,444120,Paint and Wallpaper Retailers
711,424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
712,238320,Painting and Wall Covering Contractors
713,322220,Paper Bag and Coated and Treated Paper Manufacturing
714,322120,Paper Mills
715,322130,Paperboard Mills
716,812930,Parking Lots and Garages
717,922150,Parole Offices and Probation Offices
718,532112,Passenger Car Leasing
719,532111,Passenger Car Rental
720,541214,Payroll Services
721,111992,Peanut Farming
722,525110,Pension Funds
723,513120,Periodical Publishers
724,311991,Perishable Prepared Food Manufacturing
725,325320,Pesticide and Other Agricultural Chemical Manufacturing
726,812910,Pet Care (except Veterinary) Services
727,459910,Pet and Pet Supplies Retailers
728,325110,Petrochemical Manufacturing
729,424710,Petroleum Bulk Stations and Terminals
730,324191,Petroleum Lubricating Oil and Grease Manufacturing
731,324110,Petroleum Refineries
732,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bul
733,325412,Pharmaceutical Preparation Manufacturing
734,456110,Pharmacies and Drug Retailers
735,524292,Pharmacy Benefit Management and Other Third Party Administration 
736,325312,Phosphatic Fertilizer Manufacturing
737,812921,Photofinishing Laboratories (except One-Hour)
738,423410,Photographic Equipment and Supplies Merchant Wholesalers
739,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufac"
740,541921,"Photography Studios, Portrait"
741,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
742,486110,Pipeline Transportation of Crude Oil
743,486210,Pipeline Transportation of Natural Gas
744,486910,Pipeline Transportation of Refined Petroleum Products
745,326111,Plastics Bag and Pouch Manufacturing
746,326160,Plastics Bottle Manufacturing
747,325211,Plastics Material and Resin Manufacturing
748,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesaler
749,326112,Plastics Packaging Film and Sheet (including Laminated) Manufactu
750,326122,Plastics Pipe and Pipe Fitting Manufacturing
751,326191,Plastics Plumbing Fixture Manufacturing
752,332313,Plate Work Manufacturing
753,332913,Plumbing Fixture Fitting and Trim Manufacturing
754,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant 
755,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
756,922120,Police Protection
757,325612,Polish and Other Sanitation Good Manufacturing
758,813940,Political Organizations
759,326140,Polystyrene Foam Product Manufacturing
760,488310,Port and Harbor Operations
761,523940,Portfolio Management and Investment Advice
762,491110,Postal Service
763,115114,Postharvest Crop Activities (except Cotton Ginning)
764,111211,Potato Farming
765,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
766,112340,Poultry Hatcheries
767,311615,Poultry Processing
768,424440,Poultry and Poultry Product Merchant Wholesalers
769,238110,Poured Concrete Foundation and Structure Contractors
770,332117,Powder Metallurgy Part Manufacturing
771,332410,Power Boiler and Heat Exchanger Manufacturing
772,237130,Power and Communication Line and Related Structures Construction
773,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
774,333991,Power-Driven Handtool Manufacturing
775,332721,Precision Turned Product Manufacturing
776,332311,Prefabricated Metal Building and Component Manufacturing
777,321992,Prefabricated Wood Building Manufacturing
778,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
779,325910,Printing Ink Manufacturing
780,424110,Printing and Writing Paper Merchant Wholesalers
781,814110,Private Households
782,561431,Private Mail Centers
783,541614,"Process, Physical Distribution, and Logistics Consulting Services"
784,561330,Professional Employer Organizations
785,813920,Professional Organizations
786,611430,Professional and Management Development Training
787,711320,"Promoters of Performing Arts, Sports, and Similar Events without "
788,711310,"Promoters of Performing Arts, Sports, and Similar Events with Fac"
789,622210,Psychiatric and Substance Abuse Hospitals
790,921130,Public Finance Activities
791,541820,Public Relations Agencies
792,322110,Pulp Mills
793,721211,RV (Recreational Vehicle) Parks and Campgrounds
794,711212,Racetracks
795,516110,Radio Broadcasting Stations
796,334220,Radio and Television Broadcasting and Wireless Communications Equ
797,336510,Railroad Rolling Stock Manufacturing
798,327320,Ready-Mix Concrete Manufacturing
799,522292,Real Estate Credit
800,321219,Reconstituted Wood Product Manufacturing
801,512250,Record Production and Distribution
802,532284,Recreational Goods Rental
803,441210,Recreational Vehicle Dealers
804,721214,Recreational and Vacation Camps (except Campgrounds)
805,423930,Recyclable Material Merchant Wholesalers
806,493120,Refrigerated Warehousing and Storage
807,423740,Refrigeration Equipment and Supplies Merchant Wholesalers
808,926130,"Regulation and Administration of Communications, Electric, Gas, a"
809,926120,Regulation and Administration of Transportation Programs
810,926140,Regulation of Agricultural Marketing and Commodities
811,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial"
812,524130,Reinsurance Carriers
813,335314,Relay and Industrial Control Manufacturing
814,813110,Religious Organizations
815,562910,Remediation Services
816,311613,Rendering and Meat Byproduct Processing
817,561491,Repossession Services
818,541714,Research and Development in Biotechnology (except Nanobiotechnolo
819,541713,Research and Development in Nanotechnology
820,541715,"Research and Development in the Physical, Engineering, and Life S"
821,541720,Research and Development in the Social Sciences and Humanities
822,335131,Residential Electric Lighting Fixture Manufacturing
823,623210,Residential Intellectual and Developmental Disability Facilities
824,623220,Residential Mental Health and Substance Abuse Facilities
825,531311,Residential Property Managers
826,236118,Residential Remodelers
827,311811,Retail Bakeries
828,811420,Reupholstery and Furniture Repair
829,111160,Rice Farming
830,311212,Rice Milling
831,311911,Roasted Nuts and Peanut Butter Manufacturing
832,331221,Rolled Steel Shape Manufacturing
833,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
834,238160,Roofing Contractors
835,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
836,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps"
837,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
838,326291,Rubber Product Manufacturing for Mechanical Use
839,326220,Rubber and Plastics Hoses and Belting Manufacturing
840,522220,Sales Financing
841,322291,Sanitary Paper Product Manufacturing
842,517410,Satellite Telecommunications
843,522180,Savings Institutions and Other Depository Credit Intermediation
844,332216,Saw Blade and Handtool Manufacturing
845,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
846,321113,Sawmills
847,487110,"Scenic and Sightseeing Transportation, Land"
848,487990,"Scenic and Sightseeing Transportation, Other"
849,487210,"Scenic and Sightseeing Transportation, Water"
850,481112,Scheduled Freight Air Transportation
851,481111,Scheduled Passenger Air Transportation
852,485410,School and Employee Bus Transportation
853,311710,Seafood Product Preparation and Packaging
854,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautic"
855,331314,Secondary Smelting and Alloying of Aluminum
856,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (e"
857,523210,Securities and Commodity Exchanges
858,561612,Security Guards and Patrol Services
859,561621,Security Systems Services (except Locksmiths)
860,333242,Semiconductor Machinery Manufacturing
861,334413,Semiconductor and Related Device Manufacturing
862,562991,Septic Tank and Related Services
863,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
864,624120,Services for the Elderly and Persons with Disabilities
865,221320,Sewage Treatment Facilities
866,459130,"Sewing, Needlework, and Piece Goods Retailers"
867,112410,Sheep Farming
868,332322,Sheet Metal Work Manufacturing
869,112512,Shellfish Farming
870,114112,Shellfish Fishing
871,336611,Ship Building and Repairing
872,458210,Shoe Retailers
873,482112,Short Line Railroads
874,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
875,238170,Siding Contractors
876,339950,Sign Manufacturing
877,238910,Site Preparation Contractors
878,713920,Skiing Facilities
879,332992,Small Arms Ammunition Manufacturing
880,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
881,335210,Small Electrical Appliance Manufacturing
882,722515,Snack and Nonalcoholic Beverage Bars
883,325611,Soap and Other Detergent Manufacturing
884,312111,Soft Drink Manufacturing
885,513210,Software Publishers
886,321212,Softwood Veneer and Plywood Manufacturing
887,115112,"Soil Preparation, Planting, and Cultivating"
888,221114,Solar Electric Power Generation
889,562111,Solid Waste Collection
890,562213,Solid Waste Combustors and Incinerators
891,562212,Solid Waste Landfill
892,512240,Sound Recording Studios
893,111110,Soybean Farming
894,311224,Soybean and Other Oilseed Processing
895,927110,Space Research and Technology
896,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
897,485991,Special Needs Transportation
898,811114,Specialized Automotive Repair
899,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
900,484220,"Specialized Freight (except Used Goods) Trucking, Local"
901,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
902,311422,Specialty Canning
903,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturin"
904,311942,Spice and Extract Manufacturing
905,459110,Sporting Goods Retailers
906,339920,Sporting and Athletic Goods Manufacturing
907,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
908,711211,Sports Teams and Clubs
909,611620,Sports and Recreation Instruction
910,332613,Spring Manufacturing
911,322230,Stationery Product Manufacturing
912,424120,Stationery and Office Supplies Merchant Wholesalers
913,221330,Steam and Air-Conditioning Supply
914,331513,Steel Foundries (except Investment)
915,331512,Steel Investment Foundries
916,331222,Steel Wire Drawing
917,111333,Strawberry Farming
918,238120,Structural Steel and Precast Concrete Contractors
919,111991,Sugar Beet Farming
920,111930,Sugarcane Farming
921,445110,Supermarkets and Other Grocery Retailers (except Convenience Reta
922,115210,Support Activities for Animal Production
923,213113,Support Activities for Coal Mining
924,115310,Support Activities for Forestry
925,213114,Support Activities for Metal Mining
926,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
927,213112,Support Activities for Oil and Gas Operations
928,323120,Support Activities for Printing
929,488210,Support Activities for Rail Transportation
930,325613,Surface Active Agent Manufacturing
931,212114,Surface Coal Mining
932,339113,Surgical Appliance and Supplies Manufacturing
933,339112,Surgical and Medical Instrument Manufacturing
934,541370,Surveying and Mapping (except Geophysical) Services
935,335313,Switchgear and Switchboard Apparatus Manufacturing
936,325130,Synthetic Dye and Pigment Manufacturing
937,325212,Synthetic Rubber Manufacturing
938,541213,Tax Preparation Services
939,485310,Taxi and Ridesharing Services
940,517121,Telecommunications Resellers
941,561422,Telemarketing Bureaus and Other Contact Centers
942,561421,Telephone Answering Services
943,334210,Telephone Apparatus Manufacturing
944,512191,Teleproduction and Other Postproduction Services
945,516120,Television Broadcasting Stations
946,561320,Temporary Help Services
947,624221,Temporary Shelters
948,541380,Testing Laboratories and Services
949,314910,Textile Bag and Canvas Mills
950,313310,Textile and Fabric Finishing Mills
951,711110,Theater Companies and Dinner Theaters
952,238340,Tile and Terrazzo Contractors
953,113110,Timber Tract Operations
954,441340,Tire Dealers
955,326211,Tire Manufacturing (except Retreading)
956,326212,Tire Retreading
957,423130,Tire and Tube Merchant Wholesalers
958,541191,Title Abstract and Settlement Offices
959,111910,Tobacco Farming
960,312230,Tobacco Manufacturing
961,424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers
962,459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retaile"
963,325620,Toilet Preparation Manufacturing
964,311830,Tortilla Manufacturing
965,334514,Totalizing Fluid Meter and Counting Device Manufacturing
966,561520,Tour Operators
967,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
968,541930,Translation and Interpretation Services
969,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merc
970,561510,Travel Agencies
971,336214,Travel Trailer and Camper Manufacturing
972,111335,Tree Nut Farming
973,336212,Truck Trailer Manufacturing
974,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and "
975,523991,"Trust, Fiduciary, and Custody Activities"
976,525920,"Trusts, Estates, and Agency Accounts"
977,333611,Turbine and Turbine Generator Set Units Manufacturing
978,112330,Turkey Production
979,212115,Underground Coal Mining
980,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufactur
981,326121,Unlaminated Plastics Profile Shape Manufacturing
982,337121,Upholstered Household Furniture Manufacturing
983,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturin
984,441120,Used Car Dealers
985,484210,Used Household and Office Goods Moving
986,459510,Used Merchandise Retailers
987,445132,Vending Machine Operators
988,541940,Veterinary Services
989,532282,Video Tape and Disc Rental
990,624310,Vocational Rehabilitation Services
991,813212,Voluntary Health Organizations
992,455211,Warehouse Clubs and Supercenters
993,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merc
994,221310,Water Supply and Irrigation Systems
995,237110,Water and Sewer Line and Related Structures Construction
996,519290,Web Search Portals and All Other Information Services
997,333992,Welding and Soldering Equipment Manufacturing
998,311221,Wet Corn Milling and Starch Manufacturing
999,111140,Wheat Farming
1000,425120,Wholesale Trade Agents and Brokers
1001,221115,Wind Electric Power Generation
1002,449122,Window Treatment Retailers
1003,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1004,312130,Wineries
1005,517111,Wired Telecommunications Carriers
1006,517112,Wireless Telecommunications Carriers (except Satellite)
1007,321920,Wood Container and Pallet Manufacturing
1008,337110,Wood Kitchen Cabinet and Countertop Manufacturing
1009,337211,Wood Office Furniture Manufacturing
1010,321114,Wood Preservation
1011,321911,Wood Window and Door Manufacturing
1012,712130,Zoos and Botanical Gardens
