"JUR","PARID","TAXYR","FILEYR","INVENTORY_TYPE","INVENTORY_MONTH","INVENTORY_AMT"
"1","935-GRAVIERST1910P","2025","2025","05","12","50"
"2","6264-ARGONNEBDP","2025","2025","02","1","2500"
"2","6264-ARGONNEBDP","2025","2025","02","2","2500"
"2","6264-ARGONNEBDP","2025","2025","02","3","2500"
"2","6264-ARGONNEBDP","2025","2025","02","4","2500"
"2","6264-ARGONNEBDP","2025","2025","02","5","2500"
"2","6264-ARGONNEBDP","2025","2025","02","6","2500"
"2","6264-ARGONNEBDP","2025","2025","02","7","2500"
"2","6264-ARGONNEBDP","2025","2025","02","8","2500"
"2","6264-ARGONNEBDP","2025","2025","02","9","2500"
"2","6264-ARGONNEBDP","2025","2025","02","10","2500"
"2","6264-ARGONNEBDP","2025","2025","02","11","2500"
"2","6264-ARGONNEBDP","2025","2025","02","12","2500"
"4","1042-TOLEDANOSTP","2025","2025","01","1","100"
"4","1042-TOLEDANOSTP","2025","2025","02","1","500"
"4","1042-TOLEDANOSTP","2025","2025","04","1","100"
"4","1042-TOLEDANOSTP","2025","2025","05","1","100"
"4","1042-TOLEDANOSTP","2025","2025","01","2","100"
"4","1042-TOLEDANOSTP","2025","2025","02","2","500"
"4","1042-TOLEDANOSTP","2025","2025","04","2","100"
"4","1042-TOLEDANOSTP","2025","2025","05","2","100"
"4","1042-TOLEDANOSTP","2025","2025","01","3","100"
"4","1042-TOLEDANOSTP","2025","2025","02","3","500"
"4","1042-TOLEDANOSTP","2025","2025","04","3","100"
"4","1042-TOLEDANOSTP","2025","2025","05","3","100"
"4","1042-TOLEDANOSTP","2025","2025","01","4","100"
"4","1042-TOLEDANOSTP","2025","2025","02","4","500"
"4","1042-TOLEDANOSTP","2025","2025","04","4","100"
"4","1042-TOLEDANOSTP","2025","2025","05","4","100"
"4","1042-TOLEDANOSTP","2025","2025","01","5","100"
"4","1042-TOLEDANOSTP","2025","2025","02","5","500"
"4","1042-TOLEDANOSTP","2025","2025","04","5","100"
"4","1042-TOLEDANOSTP","2025","2025","05","5","100"
"4","1042-TOLEDANOSTP","2025","2025","01","6","100"
"4","1042-TOLEDANOSTP","2025","2025","02","6","500"
"4","1042-TOLEDANOSTP","2025","2025","04","6","100"
"4","1042-TOLEDANOSTP","2025","2025","05","6","100"
"4","1042-TOLEDANOSTP","2025","2025","01","7","100"
"4","1042-TOLEDANOSTP","2025","2025","02","7","500"
"4","1042-TOLEDANOSTP","2025","2025","04","7","100"
"4","1042-TOLEDANOSTP","2025","2025","05","7","100"
"4","1042-TOLEDANOSTP","2025","2025","01","8","100"
"4","1042-TOLEDANOSTP","2025","2025","02","8","500"
"4","1042-TOLEDANOSTP","2025","2025","04","8","100"
"4","1042-TOLEDANOSTP","2025","2025","05","8","100"
"4","1042-TOLEDANOSTP","2025","2025","01","9","100"
"4","1042-TOLEDANOSTP","2025","2025","02","9","500"
"4","1042-TOLEDANOSTP","2025","2025","04","9","100"
"4","1042-TOLEDANOSTP","2025","2025","05","9","100"
"4","1042-TOLEDANOSTP","2025","2025","01","10","100"
"4","1042-TOLEDANOSTP","2025","2025","02","10","500"
"4","1042-TOLEDANOSTP","2025","2025","04","10","100"
"4","1042-TOLEDANOSTP","2025","2025","05","10","100"
"4","1042-TOLEDANOSTP","2025","2025","01","11","100"
"4","1042-TOLEDANOSTP","2025","2025","02","11","500"
"4","1042-TOLEDANOSTP","2025","2025","04","11","100"
"4","1042-TOLEDANOSTP","2025","2025","05","11","100"
"4","1042-TOLEDANOSTP","2025","2025","01","12","100"
"4","1042-TOLEDANOSTP","2025","2025","02","12","500"
"4","1042-TOLEDANOSTP","2025","2025","04","12","100"
"4","1042-TOLEDANOSTP","2025","2025","05","12","100"
"2","222-HARRISONAVP","2025","2025","99","1","3700"
"2","222-HARRISONAVP","2025","2025","99","2","3500"
"2","222-HARRISONAVP","2025","2025","99","3","3200"
"2","222-HARRISONAVP","2025","2025","99","4","3000"
"2","222-HARRISONAVP","2025","2025","99","5","2700"
"2","222-HARRISONAVP","2025","2025","99","6","2700"
"2","222-HARRISONAVP","2025","2025","99","7","3800"
"2","222-HARRISONAVP","2025","2025","99","8","3900"
"2","222-HARRISONAVP","2025","2025","99","9","3600"
"2","222-HARRISONAVP","2025","2025","99","10","3300"
"2","222-HARRISONAVP","2025","2025","99","11","3000"
"2","222-HARRISONAVP","2025","2025","99","12","2800"
"6","4842-PERRIERSTP","2025","2025","01","1","6863"
"6","4842-PERRIERSTP","2025","2025","01","2","6847"
"6","4842-PERRIERSTP","2025","2025","01","3","6770"
"6","4842-PERRIERSTP","2025","2025","01","4","6761"
"6","4842-PERRIERSTP","2025","2025","01","5","6683"
"6","4842-PERRIERSTP","2025","2025","01","6","6614"
"6","4842-PERRIERSTP","2025","2025","01","7","6568"
"6","4842-PERRIERSTP","2025","2025","01","8","6534"
"6","4842-PERRIERSTP","2025","2025","01","9","6499"
"6","4842-PERRIERSTP","2025","2025","01","10","6489"
"6","4842-PERRIERSTP","2025","2025","01","11","6489"
"6","4842-PERRIERSTP","2025","2025","01","12","1873"
"3","2900-GENTILLYBDEP","2025","2025","05","1","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","2","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","3","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","4","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","5","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","6","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","7","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","8","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","9","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","10","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","11","3000"
"3","2900-GENTILLYBDEP","2025","2025","05","12","3000"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","1","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","2","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","3","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","4","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","5","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","6","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","7","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","8","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","9","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","10","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","11","250"
"2","14-FRENCHMRKTVENDORSP","2025","2025","01","12","250"
"2","4400-BIENVILLESTP","2025","2025","02","1","7500"
"2","4400-BIENVILLESTP","2025","2025","05","1","2000"
"2","4400-BIENVILLESTP","2025","2025","02","2","7500"
"2","4400-BIENVILLESTP","2025","2025","05","2","2000"
"2","4400-BIENVILLESTP","2025","2025","02","3","7500"
"2","4400-BIENVILLESTP","2025","2025","05","3","2000"
"2","4400-BIENVILLESTP","2025","2025","02","4","7500"
"2","4400-BIENVILLESTP","2025","2025","05","4","2000"
"2","4400-BIENVILLESTP","2025","2025","02","5","7500"
"2","4400-BIENVILLESTP","2025","2025","05","5","2000"
"2","4400-BIENVILLESTP","2025","2025","02","6","7500"
"2","4400-BIENVILLESTP","2025","2025","05","6","2000"
"2","4400-BIENVILLESTP","2025","2025","02","7","7500"
"2","4400-BIENVILLESTP","2025","2025","05","7","2000"
"2","4400-BIENVILLESTP","2025","2025","02","8","7500"
"2","4400-BIENVILLESTP","2025","2025","05","8","2000"
"2","4400-BIENVILLESTP","2025","2025","02","9","7500"
"2","4400-BIENVILLESTP","2025","2025","05","9","2000"
